time,lr,fb,ud,mag,raw
2026-05-18 16:08:16.783,4.00,2.90,8.40,9.70,A:40;29;84;97
2026-05-18 16:08:17.270,0.30,4.20,8.30,9.30,A:3;42;83;93
2026-05-18 16:08:17.760,-2.50,4.40,7.70,9.30,A:-25;44;77;93
2026-05-18 16:08:18.294,-4.50,2.80,7.30,9.00,A:-45;28;73;90
2026-05-18 16:08:18.782,-5.00,0.00,7.30,8.90,A:-50;0;73;89
2026-05-18 16:08:19.272,-3.20,-2.00,8.70,9.50,A:-32;-20;87;95
2026-05-18 16:08:19.753,0.10,-2.70,8.10,8.60,A:1;-27;81;86
2026-05-18 16:08:20.295,3.10,-2.40,9.20,10.00,A:31;-24;92;100
2026-05-18 16:08:20.782,5.90,-1.40,7.40,9.60,A:59;-14;74;96
2026-05-18 16:08:21.270,4.80,1.10,8.20,9.60,A:48;11;82;96
2026-05-18 16:08:21.753,0.90,4.20,8.40,9.50,A:9;42;84;95
2026-05-18 16:08:22.292,-2.80,5.30,6.50,8.80,A:-28;53;65;88
2026-05-18 16:08:22.780,-5.60,4.00,5.40,8.80,A:-56;40;54;88
2026-05-18 16:08:23.268,-6.30,1.40,6.10,8.90,A:-63;14;61;89
2026-05-18 16:08:23.757,-3.80,-1.30,8.40,9.30,A:-38;-13;84;93
2026-05-18 16:08:24.292,0.40,-2.20,9.30,9.60,A:4;-22;93;96
2026-05-18 16:08:24.778,4.50,-1.90,8.60,9.90,A:45;-19;86;99
2026-05-18 16:08:25.264,3.10,1.10,8.80,9.40,A:31;11;88;94
2026-05-18 16:08:25.754,0.50,2.00,9.40,9.60,A:5;20;94;96
2026-05-18 16:08:26.291,0.20,1.20,9.20,9.30,A:2;12;92;93
2026-05-18 16:08:26.777,0.40,0.90,9.40,9.50,A:4;9;94;95
2026-05-18 16:08:27.266,0.30,0.90,9.20,9.30,A:3;9;92;93
2026-05-18 16:08:27.751,0.40,1.00,9.30,9.40,A:4;10;93;94
2026-05-18 16:08:28.285,0.30,0.90,9.20,9.20,A:3;9;92;92
2026-05-18 16:08:28.778,0.40,0.90,9.30,9.40,A:4;9;93;94
2026-05-18 16:08:29.265,0.50,1.10,9.40,9.40,A:5;11;94;94
2026-05-18 16:08:29.751,0.40,1.20,9.30,9.40,A:4;12;93;94
2026-05-18 16:08:30.288,0.20,1.30,9.30,9.40,A:2;13;93;94
2026-05-18 16:08:30.776,0.30,1.30,9.20,9.30,A:3;13;92;93
2026-05-18 16:08:31.263,0.40,1.20,9.10,9.20,A:4;12;91;92
2026-05-18 16:08:31.751,0.30,1.30,9.40,9.50,A:3;13;94;95
2026-05-18 16:08:32.286,0.20,1.30,9.10,9.20,A:2;13;91;92
2026-05-18 16:08:32.773,0.20,1.00,9.20,9.20,A:2;10;92;92
2026-05-18 16:08:33.260,-0.20,0.50,9.40,9.40,A:-2;5;94;94
2026-05-18 16:08:33.750,-0.30,0.40,9.20,9.20,A:-3;4;92;92
2026-05-18 16:08:34.284,-0.30,0.50,9.30,9.30,A:-3;5;93;93
2026-05-18 16:08:34.774,-0.30,0.40,9.20,9.30,A:-3;4;92;93
2026-05-18 16:08:35.261,-0.40,0.40,9.20,9.20,A:-4;4;92;92
2026-05-18 16:08:35.748,-0.40,0.40,9.30,9.30,A:-4;4;93;93
2026-05-18 16:08:36.284,-0.30,0.50,9.30,9.40,A:-3;5;93;94
2026-05-18 16:08:36.770,-0.40,0.70,9.50,9.50,A:-4;7;95;95
2026-05-18 16:08:37.260,-2.70,1.70,8.30,8.90,A:-27;17;83;89
2026-05-18 16:08:37.796,-0.20,1.00,9.30,9.40,A:-2;10;93;94
2026-05-18 16:08:38.283,5.20,-0.90,8.80,10.30,A:52;-9;88;103
2026-05-18 16:08:38.770,1.50,0.50,9.60,9.80,A:15;5;96;98
2026-05-18 16:08:39.260,-4.70,2.10,6.90,8.60,A:-47;21;69;86
2026-05-18 16:08:39.793,-4.10,1.00,8.20,9.20,A:-41;10;82;92
2026-05-18 16:08:40.279,4.70,-0.80,8.60,9.90,A:47;-8;86;99
